timesteps,reward,best_reward
1400000 , 646.655002476275 , 987.8000035136938
1410000 , 689.3950029872358 , 987.4000060036778
1420000 , 870.0250038079918 , 988.6000061631203
1430000 , 872.6400040917099 , 988.1000029221177
1440000 , 632.6200029190629 , 988.0000049471855
1450000 , 642.3950026657433 , 987.9000055193901
1460000 , 697.040003150329 , 988.300005838275
1470000 , 530.8000021602959 , 987.8000061586499
1480000 , 670.1100029487163 , 988.0000036284328
1490000 , 669.2050028126687 , 988.5000067949295
1500000 , 696.6500030554831 , 988.300006531179
1510000 , 762.4350034493953 , 987.9000067636371
1520000 , 754.895003182441 , 988.0000041052699
1530000 , 634.2000027295202 , 988.30000718683
1540000 , 535.7700022257865 , 988.1000045463443
1550000 , 888.5750036951155 , 987.9000057503581
1560000 , 766.4450032252819 , 988.200002759695
1570000 , 751.130003356561 , 987.8000049963593
1580000 , 742.0150035753846 , 987.9000051394105
1590000 , 657.6550030738115 , 988.0000039488077
1600000 , 903.7300042744725 , 988.1000065505505
1610000 , 691.7750029057264 , 988.4000038430095
1620000 , 728.6550031855702 , 988.4000046402216
1630000 , 694.23500306122 , 988.3000053688884
1640000 , 579.4500027861446 , 987.4000058397651
1650000 , 697.6400033779443 , 988.3000064343214
1660000 , 568.0350025117398 , 988.3000055551529
1670000 , 722.8950029041619 , 987.6000064313412
1680000 , 658.7950033992529 , 988.2000068947673
1690000 , 631.9600030452013 , 987.8000029549003
1700000 , 749.3350034765899 , 988.2000065669417
1710000 , 823.4900041241199 , 988.4000056907535
1720000 , 576.3900027804077 , 987.8000044599175
1730000 , 730.7400035921485 , 988.2000024691224
1740000 , 742.4150030251592 , 987.6000060215592
1750000 , 790.6500033888966 , 988.5000064373016
1760000 , 796.6600035961717 , 988.2000026404858
1770000 , 672.3450030513108 , 988.2000062093139
1780000 , 674.8350026227533 , 988.4000047072768
1790000 , 793.4600035510957 , 988.6000033020973
1800000 , 196.36000074148177 , 988.1000031158328
1810000 , 575.3900026481599 , 987.5000061318278
1820000 , 777.7300035532564 , 988.300006121397
1830000 , 707.1800033599138 , 988.200004413724
1840000 , 582.9150026276708 , 988.0000042542815
1850000 , 684.875003137812 , 988.1000032871962
1860000 , 942.1350045856088 , 988.3000057935715
1870000 , 698.7400031685829 , 988.3000044673681
1880000 , 808.2750035714358 , 988.20000423491
1890000 , 794.2650037001819 , 988.2000045776367
1900000 , 817.6550034411251 , 988.4000046998262
1910000 , 677.8850033603609 , 988.2000060901046
1920000 , 951.0450038675219 , 988.5000047013164
1930000 , 946.6200042311102 , 988.2000054717064
1940000 , 866.8950040750206 , 988.5000051856041
1950000 , 800.410004150495 , 988.6000066399574
1960000 , 864.0500042200089 , 988.3000066503882
1970000 , 712.7700033850967 , 988.1000041291118
1980000 , 892.1850041877478 , 987.8000063225627
1990000 , 748.3150036666542 , 988.0000055059791
2000000 , 807.195003560558 , 988.1000044718385
2010000 , 726.8050028439611 , 988.1000060290098
2020000 , 612.9250027962029 , 988.2000056654215
2030000 , 552.2650025200098 , 987.3000038042665
