timesteps,reward_mean,loss_mean,loss,n_updates
195106,231.0,0,,
195266,231.0,0,,
195710,593.0,0,,
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
196617,1037.0,0,0.00236,47904.0
197063,605.0,0,,
197223,231.0,0,,
197383,231.0,0,,
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198253,1030.0,0,0.0263,48313.0
198413,231.0,0,,
199583,1013.0,0,,
199743,231.0,0,,
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
199903,231.0,0,0.0114,48725.0
200329,615.0,0,,
201518,1022.0,0,,
201678,231.0,0,,
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
201838,231.0,0,0.0559,49209.0
202846,1021.0,0,,
203006,231.0,0,,
203758,1044.0,0,,
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
203918,231.0,0,0.0451,49729.0
204078,231.0,0,,
204238,231.0,0,,
204970,807.0,0,,
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205654,779.0,0,0.0228,50163.0
205814,231.0,0,,
205974,231.0,0,,
206456,603.0,0,,
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
209557,927.0,0,0.0672,51139.0
212356,1226.0,0,,
213618,720.0,0,,
213778,231.0,0,,
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214354,715.0,0,0.0754,52338.0
214514,231.0,0,,
215352,765.0,0,,
216188,744.0,0,,
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217173,1032.0,0,0.0204,53043.0
217685,598.0,0,,
219331,713.0,0,,
220180,1028.0,0,,
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221278,1304.0,0,0.0924,54069.0
221438,231.0,0,,
222372,574.0,0,,
222532,231.0,0,,
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223158,636.0,0,0.0192,54539.0
223318,231.0,0,,
223478,231.0,0,,
224464,1033.0,0,,
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226006,1276.0,0,0.0279,55251.0
226490,589.0,0,,
227256,805.0,0,,
229136,987.0,0,,
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
229296,231.0,0,0.0858,56073.0
231083,982.0,0,,
233578,947.0,0,,
234860,1008.0,0,,
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
235948,1017.0,0,0.0063,57736.0
236108,231.0,0,,
236554,617.0,0,,
237268,808.0,0,,
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
238295,1030.0,0,0.0148,58323.0
239215,1307.0,0,,
239375,231.0,0,,
239535,231.0,0,,
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240682,1013.0,0,0.0138,58920.0
240842,231.0,0,,
242254,1281.0,0,,
242414,231.0,0,,
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
242882,600.0,0,0.0463,59470.0
243042,231.0,0,,
243202,231.0,0,,
243634,615.0,0,,
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244050,610.0,0,0.0218,59762.0
244812,1032.0,0,,
244972,231.0,0,,
245132,231.0,0,,
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246122,585.0,0,0.0497,60280.0
246282,231.0,0,,
247559,1286.0,0,,
248061,593.0,0,,
249204,1287.0,0,0.0561,61050.0
249204,1287.0,0,0.0561,61050.0
249204,1287.0,0,0.0561,61050.0
249204,1287.0,0,0.0561,61050.0
